iter	Logloss
0	0.6912601541
1	0.6895345716
2	0.6872682822
3	0.6846007176
4	0.682564804
5	0.6806727027
6	0.6783979013
7	0.6765342709
8	0.6747487842
9	0.6727912747
10	0.6705141326
11	0.6682775599
12	0.6664510923
13	0.6645299753
14	0.6628755841
15	0.6601385461
16	0.6579376095
17	0.6562481625
18	0.6546231806
19	0.6529614316
20	0.6513294248
21	0.6496988477
22	0.6475893193
23	0.6452469772
24	0.6435027339
25	0.642030382
26	0.6406178145
27	0.6388451947
28	0.6376623079
29	0.6356067318
30	0.6339775337
31	0.6321996265
32	0.6311194181
33	0.6299591147
34	0.6279840596
35	0.6267624999
36	0.6248448162
37	0.6235716739
38	0.6222451562
39	0.6208474397
40	0.6198608505
41	0.6186255617
42	0.6172490883
43	0.6160303157
44	0.6145390357
45	0.6135140702
46	0.6116295508
47	0.6101694147
48	0.6089904905
49	0.6078185454
50	0.6068086064
51	0.6060273018
52	0.6047545043
53	0.6029913382
54	0.6022451733
55	0.6011587281
56	0.599949171
57	0.5986530748
58	0.5973351212
59	0.5963801836
60	0.59500463
61	0.5941261184
62	0.5929076606
63	0.5916867827
64	0.5906276446
65	0.5894969582
66	0.5885353341
67	0.5874637026
68	0.5860801704
69	0.5851982894
70	0.5839668086
71	0.5825759809
72	0.5819917273
73	0.5805016238
74	0.578686585
75	0.5777591466
76	0.5764142278
77	0.5753426717
78	0.5745014366
79	0.5733436205
80	0.5725273995
81	0.5717078269
82	0.5710632427
83	0.5702257436
84	0.5696760194
85	0.5688047054
86	0.5677951447
87	0.5672623495
88	0.5664508676
89	0.5655397228
90	0.5644793579
91	0.5636846173
92	0.56284538
93	0.5622314986
94	0.5615001704
95	0.560592108
96	0.5597683571
97	0.5592031813
98	0.5580529257
99	0.5572775918
100	0.5566331615
101	0.5559469161
102	0.5549920136
103	0.5544378411
104	0.5536878551
105	0.552961963
106	0.552099483
107	0.5509539699
108	0.5498631227
109	0.5486916879
110	0.5481885371
111	0.5472030092
112	0.5461810105
113	0.5451478872
114	0.5446636886
115	0.5439494536
116	0.5433861998
117	0.5426997155
118	0.541622312
119	0.5409773637
120	0.5404197205
121	0.5393999134
122	0.5384266646
123	0.5377262982
124	0.536919674
125	0.5361747462
126	0.5352498184
127	0.5345423063
128	0.5336942175
129	0.5328788689
130	0.5320340689
131	0.5303400197
132	0.5298222033
133	0.5288260775
134	0.5279333246
135	0.5271792205
136	0.5262406516
137	0.5256569495
138	0.5247181082
139	0.5242808
140	0.5233987113
141	0.5228089367
142	0.5217562315
143	0.5209682311
144	0.5197327392
145	0.5192294729
146	0.5182718813
147	0.5176735168
148	0.5172507824
149	0.5165525418
150	0.5152132052
151	0.5145445797
152	0.5135408887
153	0.5126637895
154	0.5119989484
155	0.511347183
156	0.5106767856
157	0.5100198206
