iter	Passed	Remaining
0	2	2593
1	5	2572
2	7	2572
3	10	2618
4	13	2619
5	15	2623
6	18	2677
7	21	2644
8	24	2646
9	27	2673
10	29	2676
11	32	2658
12	34	2653
13	37	2643
14	40	2631
15	42	2625
16	45	2630
17	48	2623
18	50	2610
19	53	2600
20	55	2594
21	58	2581
22	60	2568
23	62	2552
24	64	2530
25	67	2516
26	69	2496
27	71	2489
28	73	2467
29	75	2457
30	77	2435
31	80	2425
32	82	2418
33	84	2409
34	87	2400
35	88	2383
36	91	2377
37	93	2370
38	95	2365
39	98	2352
40	100	2340
41	102	2330
42	104	2317
43	106	2311
44	108	2301
45	110	2295
46	112	2286
47	115	2281
48	117	2277
49	119	2267
50	121	2260
51	123	2249
52	125	2244
53	128	2242
54	130	2237
55	132	2234
56	134	2226
57	136	2223
58	139	2217
59	141	2213
60	143	2207
61	145	2208
62	148	2203
63	150	2200
64	152	2192
65	154	2189
66	156	2183
67	159	2183
68	161	2179
69	163	2174
70	166	2173
71	168	2169
72	170	2165
73	172	2160
74	174	2157
75	177	2152
76	179	2150
77	182	2155
78	184	2150
79	186	2144
80	188	2142
81	191	2138
82	193	2135
83	195	2133
84	197	2127
85	199	2122
86	201	2118
87	204	2115
88	206	2110
89	208	2104
90	210	2098
91	212	2094
92	214	2088
93	216	2084
94	218	2080
95	220	2076
96	222	2070
97	224	2066
98	226	2063
99	228	2058
100	230	2053
101	232	2046
102	234	2042
103	236	2039
104	238	2033
105	240	2029
106	242	2026
107	244	2022
108	247	2021
109	249	2018
110	251	2015
111	253	2010
112	255	2008
113	258	2007
114	260	2005
115	262	2000
116	264	1996
117	266	1994
118	268	1991
119	271	1988
120	273	1984
121	275	1981
122	277	1977
123	279	1974
124	281	1971
125	283	1968
126	286	1966
127	288	1966
128	290	1962
129	292	1958
130	294	1955
131	296	1952
132	298	1949
133	301	1945
134	303	1941
135	305	1939
136	307	1936
137	309	1934
138	311	1931
139	313	1928
140	315	1924
141	317	1920
142	319	1917
143	322	1915
144	324	1911
145	326	1907
146	328	1903
147	329	1899
148	331	1895
149	334	1894
150	336	1892
151	338	1889
152	340	1886
153	343	1885
154	345	1883
155	347	1880
156	349	1877
157	351	1873
158	353	1869
159	356	1870
160	358	1869
161	361	1868
162	363	1866
163	365	1863
164	367	1861
165	370	1859
166	372	1857
167	374	1857
168	377	1855
169	379	1852
170	381	1850
171	383	1848
172	386	1845
173	388	1842
174	390	1839
175	392	1835
176	393	1831
177	396	1829
178	398	1826
179	400	1823
180	402	1820
181	404	1817
182	406	1813
183	408	1810
184	410	1808
185	412	1804
186	414	1800
187	415	1796
188	417	1793
189	419	1789
190	421	1786
191	423	1783
192	425	1781
193	428	1779
194	430	1775
195	432	1773
196	434	1771
197	436	1768
198	438	1765
